# gunzip -c exp/tri1/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang_nosp 
# Started at Sat Feb 19 10:35:03 IST 2022
#
At utterance begin, SIL accounts for 99.9% of phone occurrences, with duration (median, mean, 95-percentile) is (28,30.9,55) frames.
At utterance end, SIL accounts for 99.5% of phone occurrences, with duration (median, mean, 95-percentile) is (22,25.0,50) frames.
Overall, nonsilence accounts for 94.2% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.2,17) frames.
Overall, SIL accounts for 5.7% of phone occurrences, with duration (median, mean, 95-percentile) is (26,33.4,94) frames.
Overall, AH0_I accounts for 3.9% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.6,8) frames.
Overall, N_I accounts for 3.8% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.5,10) frames.
Overall, D_E accounts for 3.1% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.4,11) frames.
Overall, T_E accounts for 3.0% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.3,14) frames.
Overall, DH_B accounts for 2.7% of phone occurrences, with duration (median, mean, 95-percentile) is (5,4.8,8) frames.
Overall, R_I accounts for 2.5% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.0,13) frames.
Overall, IH0_I accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.7,9) frames.
Overall, N_E accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.7,16) frames.
Overall, Z_E accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.4,19) frames.
Overall, EH1_I accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.6,15) frames.
Overall, T_I accounts for 2.2% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.3,13) frames.
Overall, L_I accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.0,14) frames.
Overall, HH_B accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.7,13) frames.
Overall, IH1_I accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.0,12) frames.
Overall, W_B accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.8,16) frames.
Overall, S_I accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (11,10.8,16) frames.
